accession,id,description,keyword,,,,
PF06365,CD34_antigen,CD34/Podocalyxin family,membrane,,,,
PF06451,Moricin,Moricin,membrane,,,,
PF06522,B12D,NADH-ubiquinone reductase complex 1 MLRQ subunit,membrane,,,,
PF06558,SecM,Secretion monitor precursor protein (SecM),membrane,,,,
PF06579,Ly-6_related,Caenorhabditis elegans ly-6-related protein,membrane,,,,
PF06614,Neuromodulin,Neuromodulin,membrane,,,,
PF06653,Claudin_3,"Tight junction protein, Claudin-like",membrane,,,,
PF06715,Gp5_C,Gp5 C-terminal repeat (3 copies),membrane,,,,
PF06716,DUF1201,Protein of unknown function (DUF1201),membrane,,,,
PF06770,Arif-1,Actin-rearrangement-inducing factor (Arif-1),membrane,,,,
PF06986,TraN,Type-1V conjugative transfer system mating pair stabilisation,membrane,,,,
PF07012,Curlin_rpt,Curlin associated repeat,membrane,,,,
PF07114,TMEM126,Transmembrane protein 126 ,membrane,,,,
PF07204,Orthoreo_P10,Orthoreovirus membrane fusion protein p10,membrane,,,,
PF07229,VirE2,VirE2,membrane,,,,
PF07272,Orthoreo_P17,Orthoreovirus P17 protein,membrane,,,,
PF07276,PSGP,Apopolysialoglycoprotein (PSGP),membrane,,,,
PF07280,Ac110_PIF,Per os infectivity factor AC110,membrane,,,,
PF07289,BBL5,Bardet-Biedl syndrome 5 protein ,membrane,,,,
PF07306,DUF1455,Protein of unknown function (DUF1455),membrane,,,,
PF07353,Uroplakin_II,Uroplakin II,membrane,,,,
PF07390,P30,Mycoplasma P30 protein,membrane,,,,
PF07413,Herpes_UL37_2,Betaherpesvirus immediate-early glycoprotein UL37,membrane,,,,
PF07425,Pardaxin,Pardaxin,membrane,,,,
PF07442,Ponericin,Ponericin,membrane,,,,
PF07447,VP40,Matrix protein VP40,membrane,,,,
PF07489,Tir_receptor_C,Translocated intimin receptor (Tir) C-terminus,membrane,,,,
PF07490,Tir_receptor_N,Translocated intimin receptor (Tir) N-terminus,membrane,,,,
PF07502,MANEC,MANEC domain,membrane,,,,
PF07711,RabGGT_insert,"Rab geranylgeranyl transferase alpha-subunit, insert domain ",membrane,,,,
PF07792,Afi1,Docking domain of Afi1 for Arf3 in vesicle trafficking,membrane,,,,
PF07806,Nod_GRP,Nodule-specific GRP repeat,membrane,,,,
PF07822,Toxin_13,Neurotoxin B-IV-like protein,membrane,,,,
PF07856,Orai-1,Mediator of CRAC channel activity,membrane,,,,
PF07918,CAP160,CAP160 repeat,membrane,,,,
PF07919,Gryzun,"Gryzun, putative trafficking through Golgi",membrane,,,,
PF07948,Nairovirus_M,Nairovirus M polyprotein-like,membrane,,,,
PF07979,Intimin_C,Intimin C-type lectin domain,membrane,,,,
PF08025,Antimicrobial_3,Spider antimicrobial peptide,membrane,,,,
PF08027,Albumin_I,Albumin I chain b,membrane,,,,
PF08043,Xin,Xin repeat,membrane,,,,
PF08078,PsaX,PsaX family,membrane,,,,
PF08129,Antimicrobial17,Alpha/beta enterocin family,membrane,,,,
PF08135,EPV_E5,Major transforming protein E5 family,membrane,,,,
PF08178,GnsAB_toxin,GnsA/GnsB toxin of bacterial toxin-antitoxin system,membrane,,,,
PF08285,DPM3,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3),membrane,,,,
PF08370,PDR_assoc,Plant PDR ABC transporter associated,membrane,,,,
PF08391,Ly49,"Ly49-like protein, N-terminal region",membrane,,,,
PF08404,Baculo_p74_N,Baculoviridae P74 N-terminal,membrane,,,,
PF08416,PTB,Phosphotyrosine-binding domain,membrane,,,,
PF08434,CLCA,Calcium-activated chloride channel N terminal,membrane,,,,
PF08583,Cmc1,Cytochrome c oxidase biogenesis protein Cmc1 like,membrane,,,,
PF08596,Lgl_C,"Lethal giant larvae(Lgl) like, C-terminal",membrane,,,,
PF08723,Gag_p15,Gag protein p15,membrane,,,,
PF08951,EntA_Immun,Enterocin A Immunity,membrane,,,,
PF09029,Preseq_ALAS,5-aminolevulinate synthase presequence,membrane,,,,
PF09102,Exotox-A_target,"Exotoxin A, targeting",membrane,,,,
PF09139,Tam41_Mmp37,"Phosphatidate cytidylyltransferase, mitochondrial",membrane,,,,
PF09214,Prd1-P2,"Bacteriophage Prd1, adsorption protein P2",membrane,,,,
PF09263,PEX-2N,"Peroxisome biogenesis factor 1, N-terminal ",membrane,,,,
PF09311,Rab5-bind,Rabaptin-like protein,membrane,,,,
PF09399,SARS_lipid_bind,SARS lipid binding protein,membrane,,,,
PF09439,SRPRB,Signal recognition particle receptor beta subunit,membrane,,,,
PF09443,CFC,Cripto_Frl-1_Cryptic (CFC),membrane,,,,
PF09461,PcF,Phytotoxin PcF protein,membrane,,,,
PF09465,LBR_tudor,Lamin-B receptor of TUDOR domain,membrane,,,,
PF09528,Ehrlichia_rpt,Ehrlichia tandem repeat (Ehrlichia_rpt),membrane,,,,
PF09531,Ndc1_Nup,Nucleoporin protein Ndc1-Nup,membrane,,,,
PF09574,DUF2374,Protein of unknown function (Duf2374),membrane,,,,
PF09679,TraQ,Type-F conjugative transfer system pilin chaperone (TraQ),membrane,,,,
PF09746,Membralin,Tumour-associated protein,membrane,,,,
PF09763,Sec3_C,Exocyst complex component Sec3,membrane,,,,
PF09777,OSTMP1,Osteopetrosis-associated transmembrane protein 1 precursor,membrane,,,,
PF09821,AAA_assoc_C,C-terminal AAA-associated domain,membrane,,,,
PF10148,SCHIP-1,Schwannomin-interacting protein 1,membrane,,,,
PF10157,BORCS6,BLOC-1-related complex sub-unit 6,membrane,,,,
PF10158,LOH1CR12,Tumour suppressor protein,membrane,,,,
PF10167,BORCS8,BLOC-1-related complex sub-unit 8,membrane,,,,
PF10231,DUF2315,Apoptogenic protein 1,membrane,,,,
PF10235,Cript,Microtubule-associated protein CRIPT,membrane,,,,
PF10240,DUF2464,Multivesicular body subunit 12,membrane,,,,
PF10254,Pacs-1,PACS-1 cytosolic sorting protein,membrane,,,,
PF10265,Miga,Mitoguardin,membrane,,,,
PF10266,Strumpellin,Hereditary spastic paraplegia protein strumpellin,membrane,,,,
PF10267,Tmemb_cc2,Predicted transmembrane and coiled-coil 2 protein,membrane,,,,
PF10271,Tmp39,Putative transmembrane protein,membrane,,,,
PF10279,Latarcin,Latarcin precursor,membrane,,,,
PF10291,muHD,Muniscin C-terminal mu homology domain,membrane,,,,
PF10316,7TM_GPCR_Srbc,Serpentine type 7TM GPCR chemoreceptor Srbc ,membrane,,,,
PF10317,7TM_GPCR_Srd,Serpentine type 7TM GPCR chemoreceptor Srd,membrane,,,,
PF10318,7TM_GPCR_Srh,Serpentine type 7TM GPCR chemoreceptor Srh,membrane,,,,
PF10319,7TM_GPCR_Srj,Serpentine type 7TM GPCR chemoreceptor Srj,membrane,,,,
PF10321,7TM_GPCR_Srt,Serpentine type 7TM GPCR chemoreceptor Srt,membrane,,,,
PF10322,7TM_GPCR_Sru,Serpentine type 7TM GPCR chemoreceptor Sru,membrane,,,,
PF10323,7TM_GPCR_Srv,Serpentine type 7TM GPCR chemoreceptor Srv,membrane,,,,
PF10325,7TM_GPCR_Srz,Serpentine type 7TM GPCR chemoreceptor Srz,membrane,,,,
PF10326,7TM_GPCR_Str,Serpentine type 7TM GPCR chemoreceptor Str,membrane,,,,
PF10327,7TM_GPCR_Sri,Serpentine type 7TM GPCR chemoreceptor Sri,membrane,,,,
PF10328,7TM_GPCR_Srx,Serpentine type 7TM GPCR chemoreceptor Srx,membrane,,,,
PF10333,Pga1,GPI-Mannosyltransferase II co-activator,membrane,,,,
PF10375,GRAB,GRIP-related Arf-binding domain ,membrane,,,,
PF10392,COG5,Golgi transport complex subunit 5,membrane,,,,
PF10399,UCR_Fe-S_N,Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal,membrane,,,,
PF10417,1-cysPrx_C,C-terminal domain of 1-Cys peroxiredoxin,membrane,,,,
PF10429,Mtr2,Nuclear pore RNA shuttling protein Mtr2,membrane,,,,
PF10439,Bacteriocin_IIc,Bacteriocin class II with double-glycine leader peptide,membrane,,,,
PF10457,MENTAL,Cholesterol-capturing domain,membrane,,,,
PF10480,ICAP-1_inte_bdg,Beta-1 integrin binding protein,membrane,,,,
PF10514,Bcl-2_BAD,"Pro-apoptotic Bcl-2 protein, BAD",membrane,,,,
PF10520,TMEM189_B_dmain,"B domain of TMEM189, localisation domain",membrane,,,,
PF10570,Myelin-PO_C,Myelin-PO cytoplasmic C-term p65 binding region,membrane,,,,
PF10583,Involucrin_N,Involucrin of squamous epithelia N-terminus,membrane,,,,
PF10625,UspB,Universal stress protein B (UspB),membrane,,,,
PF10627,CsgE,Curli assembly protein CsgE,membrane,,,,
PF10643,Cytochrome-c551,Photosystem P840 reaction-centre cytochrome c-551,membrane,,,,
PF10657,RC-P840_PscD,Photosystem P840 reaction centre protein PscD,membrane,,,,
PF10717,ODV-E18,Occlusion-derived virus envelope protein ODV-E18,membrane,,,,
PF10746,Phage_holin_2_2,"Phage holin T7 family, holin superfamily II",membrane,,,,
PF10768,FliX,Class II flagellar assembly regulator,membrane,,,,
PF10775,ATP_sub_h,ATP synthase complex subunit h,membrane,,,,
PF10793,Gloverin,Gloverin-like protein ,membrane,,,,
PF11031,Phage_holin_T,Bacteriophage T holin,membrane,,,,
PF11049,KSHV_K1,Glycoprotein K1 of Kaposi's sarcoma-associated herpes virus,membrane,,,,
PF11050,Viral_env_E26,Virus envelope protein E26,membrane,,,,
PF11088,RL11D,Glycoprotein encoding membrane proteins RL5A and RL6,membrane,,,,
PF11094,UL11,Membrane-associated tegument protein,membrane,,,,
PF11110,Phage_hub_GP28,Baseplate hub distal subunit,membrane,,,,
PF11264,ThylakoidFormat,Thylakoid formation protein,membrane,,,,
PF11404,Potassium_chann,Potassium voltage-gated channel,membrane,,,,
PF11406,Tachystatin_A,Antimicrobial peptide tachystatin A,membrane,,,,
PF11409,SARA,Smad anchor for receptor activation (SARA),membrane,,,,
PF11461,RILP,Rab interacting lysosomal protein,membrane,,,,
PF11464,Rbsn,Rabenosyn Rab binding domain,membrane,,,,
PF11465,Receptor_2B4,Natural killer cell receptor 2B4,membrane,,,,
PF11466,Doppel,Prion-like protein Doppel,membrane,,,,
PF11470,TUG-UBL1,TUG ubiquitin-like domain,membrane,,,,
PF11493,TSP9,Thylakoid soluble phosphoprotein TSP9,membrane,,,,
PF11522,Pik1,Yeast phosphatidylinositol-4-OH kinase Pik1,membrane,,,,
PF11544,Spc42p,Spindle pole body component Spc42p,membrane,,,,
PF11560,LAP2alpha,Lamina-associated polypeptide 2 alpha,membrane,,,,
PF11570,E2R135,Coiled-coil receptor-binding R-domain of colicin E2,membrane,,,,
PF11587,Prion_bPrPp,Major prion protein bPrPp - N terminal,membrane,,,,
PF11615,Caf4,CCR4-associated factor 4 ,membrane,,,,
PF11727,ISG65-75,Invariant surface glycoprotein,membrane,,,,
PF11758,Bacteriocin_IIi,Aureocin-like type II bacteriocin,membrane,,,,
PF11772,EpuA,DNA-directed RNA polymerase subunit beta,membrane,,,,
PF11803,UXS1_N,UDP-glucuronate decarboxylase N-terminal,membrane,,,,
PF11916,Vac14_Fig4_bd,Vacuolar protein 14 C-terminal Fig4p binding,membrane,,,,
PF11964,SpoIIAA-like,SpoIIAA-like,membrane,,,,
PF11983,DUF3484,Membrane-attachment and polymerisation-promoting switch,membrane,,,,
PF11986,PB1-F2,Influenza A Proapoptotic protein,membrane,,,,
PF12056,DUF3537,Protein of unknown function (DUF3537),membrane,,,,
PF12106,Colicin_E5,Colicin E5 ribonuclease domain,membrane,,,,
PF12111,PNPase_C,Polyribonucleotide phosphorylase C terminal,membrane,,,,
PF12121,DD_K,Dermaseptin,membrane,,,,
PF12129,Phtf-FEM1B_bdg,Male germ-cell putative homeodomain transcription factor,membrane,,,,
PF12130,DUF3585,Bivalent Mical/EHBP Rab binding domain,membrane,,,,
PF12173,BacteriocIIc_cy,Bacteriocin class IIc cyclic gassericin A-like,membrane,,,,
PF12180,EABR,TSG101 and ALIX binding domain of CEP55,membrane,,,,
PF12192,CBP,Fungal calcium binding protein,membrane,,,,
PF12211,LMWSLP_N,Low molecular weight S layer protein N terminal,membrane,,,,
PF12219,End_tail_spike,Catalytic domain of bacteriophage endosialidase,membrane,,,,
PF12233,p12I,Human adult T cell leukemia/lymphoma virus protein,membrane,,,,
PF12238,MSA-2c,Merozoite surface antigen 2c,membrane,,,,
PF12260,PIP49_C,Protein-kinase domain of FAM69,membrane,,,,
PF12280,BSMAP,Brain specific membrane anchored protein,membrane,,,,
PF12327,FtsZ_C,"FtsZ family, C-terminal domain",membrane,,,,
PF12355,Dscam_C,Down syndrome cell adhesion molecule C terminal ,membrane,,,,
PF12369,GnHR_trans,Gonadotropin hormone receptor transmembrane region ,membrane,,,,
PF12371,TMEM131_like,Transmembrane protein 131-like,membrane,,,,
PF12519,MDM10,Mitochondrial distribution and morphology protein 10,membrane,,,,
PF12534,Pannexin_like,Pannexin-like TM region of LRRC8,membrane,,,,
PF12595,Rhomboid_SP,Rhomboid serine protease,membrane,,,,
PF12605,CK1gamma_C,Casein kinase 1 gamma C terminal,membrane,,,,
PF12632,Vezatin,Mysoin-binding motif of peroxisomes,membrane,,,,
PF12722,Hid1,High-temperature-induced dauer-formation protein,membrane,,,,
PF12743,ESR1_C,Oestrogen-type nuclear receptor final C-terminal ,membrane,,,,
PF12744,ATG19_autophagy,"Autophagy protein Atg19, Atg8-binding",membrane,,,,
PF12753,Nro1,Nuclear pore complex subunit Nro1,membrane,,,,
PF12757,Eisosome1,Eisosome protein 1 ,membrane,,,,
PF12761,End3,Actin cytoskeleton-regulatory complex protein END3,membrane,,,,
PF12768,Rax2,Cortical protein marker for cell polarity,membrane,,,,
PF12819,Malectin_like,Malectin-like domain,membrane,,,,
PF12879,SICA_C,SICA C-terminal inner membrane domain ,membrane,,,,
PF13044,Fusion_F0,"Fusion glycoprotein F0, Isavirus ",membrane,,,,
PF13705,TRC8_N,TRC8 N-terminal domain,membrane,,,,
PF13805,Pil1,Eisosome component PIL1,membrane,,,,
PF13897,GOLD_2,Golgi-dynamics membrane-trafficking,membrane,,,,
PF13955,Fst_toxin,"Toxin Fst, type I toxin-antitoxin system",membrane,,,,
PF14218,COP23,Circadian oscillating protein COP23,membrane,,,,
PF14445,Prok-RING_2,Prokaryotic RING finger family 2,membrane,,,,
PF14466,PLCC,PLAT/LH2 and C2-like Ca2+-binding lipoprotein,membrane,,,,
PF14653,IGFL,Insulin growth factor-like family,membrane,,,,
PF14654,Epiglycanin_C,"Mucin, catalytic, TM and cytoplasmic tail region",membrane,,,,
PF14722,KRAP_IP3R_bind,Ki-ras-induced actin-interacting protein-IP3R-interacting domain,membrane,,,,
PF14746,WASH-7_C,"WASH complex subunit 7, C-terminal",membrane,,,,
PF14755,ER-remodelling,Intracellular membrane remodeller ,membrane,,,,
PF14763,HPS3_C,"Hermansky-Pudlak syndrome 3, C-terminal",membrane,,,,
PF14764,SPG48,"AP-5 complex subunit, vesicle trafficking",membrane,,,,
PF14777,BBIP10,Cilia BBSome complex subunit 10,membrane,,,,
PF14778,ODR4-like,Olfactory receptor 4-like,membrane,,,,
PF14802,TMEM192,TMEM192 family,membrane,,,,
PF14812,PBP1_TM,Transmembrane domain of transglycosylase PBP1 at N-terminal,membrane,,,,
PF14814,UB2H,Bifunctional transglycosylase second domain,membrane,,,,
PF14847,Ras_bdg_2,Ras-binding domain of Byr2,membrane,,,,
PF14875,PIP49_N,"N-term cysteine-rich ER, FAM69",membrane,,,,
PF14921,APCDDC,Adenomatosis polyposis coli down-regulated 1,membrane,,,,
PF14931,IFT20,"Intraflagellar transport complex B, subunit 20",membrane,,,,
PF14935,TMEM138,Transmembrane protein 138,membrane,,,,
PF14946,DUF4501,Domain of unknown function (DUF4501),membrane,,,,
PF14961,BROMI,Broad-minded protein,membrane,,,,
PF14962,AIF-MLS,Mitochondria Localisation Sequence,membrane,,,,
PF14985,TM140,TM140 protein family,membrane,,,,
PF15005,IZUMO,"Izumo sperm-egg fusion, Ig domain-associated",membrane,,,,
PF15018,InaF-motif,TRP-interacting helix,membrane,,,,
PF15029,TMEM174,Transmembrane protein 174,membrane,,,,
PF15049,DUF4534,Protein of unknown function (DUF4534),membrane,,,,
PF15052,TMEM169,TMEM169 protein family,membrane,,,,
PF15062,ARL6IP6,Haemopoietic lineage transmembrane helix,membrane,,,,
PF15098,TMEM89,TMEM89 protein family,membrane,,,,
PF15099,PIRT,Phosphoinositide-interacting protein family,membrane,,,,
PF15100,TMEM187,TMEM187 protein family,membrane,,,,
PF15101,TERB2,Telomere-associated protein TERB2,membrane,,,,
PF15102,TMEM154,TMEM154 protein family,membrane,,,,
PF15105,TMEM61,TMEM61 protein family,membrane,,,,
PF15106,TMEM156,TMEM156 protein family,membrane,,,,
PF15109,TMEM125,TMEM125 protein family,membrane,,,,
PF15111,TMEM101,TMEM101 protein family,membrane,,,,
PF15113,TMEM117,TMEM117 protein family,membrane,,,,
PF15121,TMEM71,TMEM71 protein family,membrane,,,,
PF15122,TMEM206,TMEM206 protein family,membrane,,,,
PF15125,TMEM238,TMEM238 protein family,membrane,,,,
PF15141,DUF4574,Ubiquinol-cytochrome-c reductase complex assembly factor 3,membrane,,,,
PF15164,WBS28,Williams-Beuren syndrome chromosomal region 28 protein homologue,membrane,,,,
PF15187,Augurin,Oesophageal cancer-related gene 4,membrane,,,,
PF15190,TMEM251,Transmembrane protein 251,membrane,,,,
PF15271,BBP1_N,"Spindle pole body component BBP1, Mps2-binding protein",membrane,,,,
PF15272,BBP1_C,"Spindle pole body component BBP1, C-terminal",membrane,,,,
PF15278,Sec3_C_2,Sec3 exocyst complex subunit,membrane,,,,
PF15284,PAGK,Phage-encoded virulence factor,membrane,,,,
PF15351,JCAD,Junctional protein associated with coronary artery disease,membrane,,,,
PF15431,TMEM190,Transmembrane protein 190,membrane,,,,
PF15435,UNC119_bdg,UNC119-binding protein C5orf30 homologue,membrane,,,,
PF15444,TMEM247,Transmembrane protein 247,membrane,,,,
PF15467,SGIII,Secretogranin-3,membrane,,,,
PF15475,UPF0444,"Transmembrane protein C12orf23, UPF0444",membrane,,,,
PF15627,CEP76-C2,CEP76 C2 domain,membrane,,,,
PF15654,Tox-WTIP,Toxin with a conserved tryptophan and TIP tripeptide motif,membrane,,,,
PF15658,Latrotoxin_C,Latrotoxin C-terminal domain,membrane,,,,
PF15672,Mucin15,Cell-membrane associated Mucin15,membrane,,,,
PF15681,LAX,Lymphocyte activation family X,membrane,,,,
PF15685,GGN,Gametogenetin,membrane,,,,
PF15686,LYRIC,Lysine-rich CEACAM1 co-isolated protein family,membrane,,,,
PF15705,TMEM132D_N,"Mature oligodendrocyte transmembrane protein, TMEM132D, N-term",membrane,,,,
PF15706,TMEM132D_C,"Mature oligodendrocyte transmembrane protein, TMEM132D, C-term",membrane,,,,
PF15756,DUF4690,Small Novel Rich in Cartilage,membrane,,,,
PF15784,GPS2_interact,G-protein pathway suppressor 2-interacting domain,membrane,,,,
PF15812,MREG,Melanoregulin,membrane,,,,
PF15816,TMEM82,Transmembrane protein 82,membrane,,,,
PF15817,TMEM40,Transmembrane protein 40 family,membrane,,,,
PF15820,ECSCR,Endothelial cell-specific chemotaxis regulator,membrane,,,,
PF15824,SPATA9,Spermatogenesis-associated protein 9,membrane,,,,
PF15884,QIL1,"MICOS complex subunit MIC13, QIL1",membrane,,,,
PF15968,RexB,"Membrane-anchored ion channel, Abi component",membrane,,,,
PF15969,RexA,"Intracellular sensor of Lambda phage, Abi component",membrane,,,,
PF15993,Fuseless,Fuseless,membrane,,,,
PF16038,TMIE,TMIE protein,membrane,,,,
PF16081,Phage_holin_7_1,Mycobacterial 2 TMS Phage Holin (M2 Hol) Family,membrane,,,,
PF16082,Phage_holin_2_4,"Bacteriophage holin family, superfamily II-like",membrane,,,,
PF16088,BORCS7,BLOC-1-related complex sub-unit 7,membrane,,,,
PF16185,MTABC_N,Mitochondrial ABC-transporter N-terminal five TM region,membrane,,,,
PF16214,AC_N,Adenylyl cyclase N-terminal extracellular and transmembrane region,membrane,,,,
PF16253,DUF4909,Domain of unknown function (DUF4909),membrane,,,,
PF16311,TMEM100,Transmembrane protein 100,membrane,,,,
PF16348,Corona_NSP4_C,Coronavirus nonstructural protein 4 C-terminus,membrane,,,,
PF16484,CPT_N,Carnitine O-palmitoyltransferase N-terminus,membrane,,,,
PF16504,SP24,Putative virion membrane protein of plant and insect virus,membrane,,,,
PF16520,BDV_M,ssRNA-binding matrix protein of Bornaviridae,membrane,,,,
PF16533,SOAR,STIM1 Orai1-activating region,membrane,,,,
PF16546,SGTA_dimer,Homodimerisation domain of SGTA,membrane,,,,
PF16565,MIT_C,Phospholipase D-like domain at C-terminus of MIT,membrane,,,,
PF16567,CagD,Pathogenicity island component CagD,membrane,,,,
PF16698,ADAM17_MPD,"Membrane-proximal domain, switch, for ADAM17",membrane,,,,
PF16706,Izumo-Ig,Izumo-like Immunoglobulin domain,membrane,,,,
PF16720,Albumin_I_a,Albumin I chain a,membrane,,,,
PF16754,Pesticin,"Bacterial toxin homologue of phage lysozyme, C-term",membrane,,,,
PF16816,DotD,DotD protein,membrane,,,,
PF16829,ATR13,"Avirulence protein ATR13, RxLR effector",membrane,,,,
PF16860,CX9C,"CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,",membrane,,,,
PF16954,HRG,"Haem-transporter, endosomal/lysosomal, haem-responsive gene ",membrane,,,,
PF16959,Collectrin,Renal amino acid transporter,membrane,,,,
PF16968,TadZ_N,Pilus assembly protein TadZ N-terminal,membrane,,,,
PF16971,RcpB,"Rough colony protein B, tight adherence - tad - subunit",membrane,,,,
PF16974,NAR2,High-affinity nitrate transporter accessory,membrane,,,,
PF17009,DUF5090,Domain of unknown function (DUF5090),membrane,,,,
PF17010,DUF5092,Domain of unknown function (DUF5092),membrane,,,,
PF17028,8TM_micro,8TM Microsporidial transmembrane domain,membrane,,,,
PF17050,AIM5,Altered inheritance of mitochondria 5,membrane,,,,
PF17053,GEP5,Genetic interactor of prohibitin 5,membrane,,,,
PF17056,KRE1,Killer toxin-resistance protein 1,membrane,,,,
PF17060,MPS2,Monopolar spindle protein 2,membrane,,,,
PF17061,PARM,PARM,membrane,,,,
PF17062,Osw5,Outer spore wall 5,membrane,,,,
PF17072,Spike_torovirin,Torovirinae spike glycoprotein,membrane,,,,
PF17080,SepA,Multidrug Resistance efflux pump,membrane,,,,
PF17087,HHV-5_US34A,Herpesvirus US34A protein family,membrane,,,,
PF17091,Tail_VII,Inovirus G7P protein,membrane,,,,
PF17178,MASE5,Membrane-associated sensor,membrane,,,,
